epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.7759,0.78863,3.45252,1.02288,0.0049,0.86875,0.05809,0.04625,0.6943,3.41485,0.956,2.5e-05,2.5e-05,2.5e-05
2,14.1054,0.78629,3.45252,1.02777,0.00492,0.86875,0.06696,0.05319,0.7014,3.4042,0.95436,6.22938e-05,6.22938e-05,6.22938e-05
3,18.4266,0.77788,3.24801,1.00507,0.00711,0.96875,0.41158,0.33259,0.70249,3.24816,0.92828,9.934e-05,9.934e-05,9.934e-05
4,22.8195,0.77105,2.42453,0.98655,0.00849,1,0.48705,0.38821,0.69854,3.10025,0.91717,0.000136139,0.000136139,0.000136139
5,27.2226,0.7886,1.6064,1.004,0.00851,1,0.70334,0.52965,0.74082,2.9715,0.96371,0.00017269,0.00017269,0.00017269
6,31.6459,0.7452,1.14618,0.97561,0.68832,0.72465,0.83146,0.66965,0.6726,2.85724,0.92881,0.000208994,0.000208994,0.000208994
7,36.0812,0.74658,0.9981,0.97555,1,0.27511,0.81277,0.6661,0.66897,2.7721,0.91662,0.00024505,0.00024505,0.00024505
8,40.4077,0.73805,0.91683,0.96477,1,0.34981,0.82836,0.67716,0.6666,2.71309,0.91376,0.000280859,0.000280859,0.000280859
9,44.8688,0.7464,0.89599,0.95734,1,0.30295,0.93126,0.75656,0.69936,2.66684,0.92514,0.00031642,0.00031642,0.00031642
10,49.213,0.75161,0.85885,0.96848,1,0.26255,0.98411,0.81116,0.67262,2.64843,0.92239,0.000351734,0.000351734,0.000351734
11,53.621,0.72568,0.77515,0.95061,0.99868,0.60701,0.98758,0.81886,0.68623,2.46527,0.93125,0.0003868,0.0003868,0.0003868
12,58.0658,0.72133,0.75364,0.95226,0.99615,0.50764,0.99009,0.81339,0.69252,2.45076,0.92807,0.000421619,0.000421619,0.000421619
13,62.4193,0.71295,0.76183,0.93936,0.9968,0.65657,0.98219,0.81128,0.68861,2.51308,0.93094,0.00045619,0.00045619,0.00045619
14,66.7554,0.72234,0.76981,0.9517,0.99281,0.66608,0.99482,0.82129,0.67092,2.31887,0.91488,0.000490514,0.000490514,0.000490514
15,71.0729,0.72813,0.72508,0.95261,0.98732,0.79943,0.99494,0.83688,0.67228,2.14761,0.92213,0.00052459,0.00052459,0.00052459
16,75.543,0.71191,0.71928,0.95161,0.9956,0.6223,0.995,0.82073,0.68746,2.33487,0.91499,0.000558419,0.000558419,0.000558419
17,79.9443,0.72614,0.70475,0.94715,0.9976,0.7374,0.99497,0.80137,0.71783,2.25997,0.91924,0.000592,0.000592,0.000592
18,84.3309,0.71339,0.68816,0.95246,0.99495,0.7634,0.98971,0.81979,0.68308,2.15328,0.91369,0.000625334,0.000625334,0.000625334
19,88.6625,0.69924,0.68034,0.94422,0.99567,0.80799,0.9783,0.79439,0.70329,2.26279,0.9107,0.00065842,0.00065842,0.00065842
20,92.9854,0.71658,0.65836,0.95101,0.99309,0.8779,0.995,0.81415,0.69907,1.85259,0.92738,0.000691259,0.000691259,0.000691259
21,97.2905,0.70638,0.65745,0.94153,0.98195,0.86368,0.995,0.80911,0.72035,1.80185,0.93065,0.00072385,0.00072385,0.00072385
22,101.569,0.70703,0.65178,0.95685,0.97855,0.86844,0.995,0.81993,0.69465,1.54762,0.91972,0.000756194,0.000756194,0.000756194
23,105.914,0.71106,0.65059,0.95084,0.98192,0.86846,0.995,0.81851,0.69936,1.64912,0.92497,0.00078829,0.00078829,0.00078829
24,110.211,0.72188,0.63671,0.94506,0.98057,0.89868,0.995,0.82812,0.69955,1.57479,0.92092,0.000820139,0.000820139,0.000820139
25,114.485,0.69949,0.62625,0.94394,0.96752,0.94114,0.995,0.82223,0.67723,1.53197,0.9158,0.00085174,0.00085174,0.00085174
26,118.817,0.71515,0.62414,0.9555,0.97633,0.93726,0.995,0.82298,0.70073,1.41268,0.9364,0.000883094,0.000883094,0.000883094
27,123.274,0.68681,0.62066,0.94257,0.9795,0.99123,0.995,0.82804,0.68196,1.45508,0.93034,0.0009142,0.0009142,0.0009142
28,127.751,0.69108,0.61362,0.94265,0.97748,1,0.995,0.82981,0.68006,1.20883,0.93932,0.000945059,0.000945059,0.000945059
29,132.091,0.72592,0.60603,0.95801,0.97653,1,0.995,0.82515,0.68501,1.27114,0.94041,0.00097567,0.00097567,0.00097567
